nbapersonid,player,draftyear,draftpick,season,nbateamid,team,games,games_start,mins,fgm,fga,fgp,fgm3,fga3,fgp3,fgm2,fga2,fgp2,efg,ftm,fta,ftp,off_reb,def_reb,tot_reb,ast,steals,blocks,tov,tot_fouls,points
949,Shareef Abdur-Rahim,1996,3,2003,1610612757,POR,32,3.0,729.0,118,264,0.44696969696969696,4.0,11.0,0.36363636363636365,114.0,253.0,0.4505928853754941,0.45454545454545453,79,95,0.8315789473684211,48.0,96.0,144.0,47,24.0,18.0,53.0,75,319
949,Shareef Abdur-Rahim,1996,3,2004,1610612757,POR,54,49.0,1868.0,337,670,0.5029850746268657,15.0,39.0,0.38461538461538464,322.0,631.0,0.5103011093502378,0.514179104477612,220,254,0.8661417322834646,123.0,269.0,392.0,111,49.0,26.0,117.0,150,909
949,Shareef Abdur-Rahim,1996,3,2005,1610612758,SAC,72,30.0,1961.0,332,632,0.5253164556962026,5.0,22.0,0.22727272727272727,327.0,610.0,0.5360655737704918,0.5292721518987342,218,278,0.7841726618705036,106.0,251.0,357.0,149,48.0,42.0,108.0,227,887
949,Shareef Abdur-Rahim,1996,3,2006,1610612758,SAC,80,45.0,2015.0,310,654,0.4740061162079511,3.0,20.0,0.15,307.0,634.0,0.4842271293375394,0.47629969418960244,170,234,0.7264957264957265,122.0,276.0,398.0,109,53.0,40.0,116.0,243,793
949,Shareef Abdur-Rahim,1996,3,2007,1610612758,SAC,6,0.0,51.0,3,14,0.21428571428571427,0.0,0.0,0.0,3.0,14.0,0.21428571428571427,0.21428571428571427,4,4,1.0,6.0,4.0,10.0,4,1.0,0.0,1.0,9,10
203518,Alex Abrines,2013,32,2016,1610612760,OKC,68,6.0,1055.0,134,341,0.39296187683284456,94.0,247.0,0.3805668016194332,40.0,94.0,0.425531914893617,0.530791788856305,44,49,0.8979591836734694,18.0,68.0,86.0,40,37.0,8.0,33.0,114,406
203518,Alex Abrines,2013,32,2017,1610612760,OKC,75,8.0,1134.0,115,291,0.3951890034364261,84.0,221.0,0.38009049773755654,31.0,70.0,0.44285714285714284,0.5395189003436426,39,46,0.8478260869565217,26.0,88.0,114.0,28,38.0,8.0,25.0,124,353
203518,Alex Abrines,2013,32,2018,1610612760,OKC,31,2.0,588.0,56,157,0.35668789808917195,41.0,127.0,0.3228346456692913,15.0,30.0,0.5,0.4872611464968153,12,13,0.9230769230769231,5.0,43.0,48.0,20,17.0,6.0,14.0,53,165
1630173,Precious Achiuwa,2020,20,2020,1610612748,MIA,61,4.0,737.0,124,228,0.543859649122807,0.0,1.0,0.0,124.0,227.0,0.5462555066079295,0.543859649122807,56,110,0.509090909090909,73.0,135.0,208.0,29,20.0,28.0,43.0,91,304
1630173,Precious Achiuwa,2020,20,2021,1610612761,TOR,73,28.0,1725.0,265,603,0.439469320066335,56.0,156.0,0.358974358974359,209.0,447.0,0.46756152125279643,0.4859038142620232,78,131,0.5954198473282443,146.0,327.0,473.0,82,37.0,41.0,84.0,151,664
1630173,Precious Achiuwa,2020,20,2022,1610612761,TOR,55,12.0,1141.0,196,404,0.48514851485148514,29.0,108.0,0.26851851851851855,167.0,296.0,0.5641891891891891,0.5210396039603961,87,124,0.7016129032258065,100.0,228.0,328.0,50,31.0,30.0,59.0,102,508
101165,Alex Acker,2005,60,2005,1610612765,DET,5,0.0,35.0,4,16,0.25,1.0,5.0,0.2,3.0,11.0,0.2727272727272727,0.28125,0,0,0.0,1.0,4.0,5.0,4,1.0,0.0,4.0,4,9
